Boktor Nederland,,,,KENMERK,Lengte (mm),Basiskleur dekschild,Patroon dekschild,Aantal lengteribbels,Dekking achterlijf,Beharing halsschild,Glans,Vorm halsschild,Zijrand,Totale sprietlengte,Lengte derde sprietlid,Sprietkleur,Pootkleur,foto id beeldbank,sekse op foto,nsrpage nieuw,naam SCI,naam NL,fotograaf,bronvermelding
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,KENMERKGROEP,Lengte,Dekschild,Dekschild,Dekschild,Dekschild,Halsschild,Halsschild,Halsschild,Halsschild,Sprieten,Sprieten,Sprieten,Poten,hidden,hidden,hidden,hidden,hidden,hidden,hidden
,,,,Eventuele uitleg,Voer meetwaarde in. Lengte wordt gemeten vanaf achterlijfspunt tot aan de punt van de kop (excl. sprieten). ,,,,,,,,,,,,,,,,,,,
,,,,Type gegevens,float-range,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string,string
,,,,,,,,,,,,,,,,,,,,,,,,
id,title,sekse,variant,gelijkende soorten,,,,,,,,,,,,,,,,,,,,
1,Aegosoma scabricorne,beide,,2;3,28-50,bruin; geel,egaal,3; 4,geheel,dun behaard,glimmend,klokvormig,glad,middellang,zeer lang,vrijwel uniform,vrijwel uniform,http://images.ncbnaturalis.nl/comping/132735.jpg,male,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBROXQK,Aegosoma scabricorne,Loofreuzenboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
2,Ergates faber,man,,1;4,23-60,bruin,egaal,2,geheel,kaal,mat,cilindrisch,gezaagd,lang,zeer lang,vrijwel uniform,vrijwel uniform,http://images.ncbnaturalis.nl/comping/132763.jpg,male,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRQFBJ,Ergates faber,Naaldreuzenboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
3,Ergates faber,vrouw,,4,23-60,bruin,egaal,2,geheel,kaal,glimmend,cilindrisch,gezaagd,kort; middellang,zeer lang,vrijwel uniform,vrijwel uniform,http://images.ncbnaturalis.nl/comping/132762.jpg,female,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRQFBJ,Ergates faber,Naaldreuzenboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
4,Prionus coriarius,beide,,,18-45,bruin,egaal,1,geheel,kaal,glimmend,cilindrisch,met drie zijdoorns,kort; middellang,niet zeer lang,vrijwel uniform,vrijwel uniform,http://images.ncbnaturalis.nl/comping/132812.jpg,female,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRSFSF,Prionus coriarius,Lederboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
5,Spondylis buprestoides,beide,,6,10-24,zwart,egaal,2; 3,geheel,kaal,glimmend,anders,glad,kort,niet zeer lang,vrijwel uniform,vrijwel uniform,http://images.ncbnaturalis.nl/comping/132829.jpg,female,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRTBDO,Spondylis buprestoides,Wortelboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
6,Asemum striatum,beide,,5;7;8;9;10,8-23,rood; bruin; zwart,egaal,2; 3,geheel,dun behaard,mat,anders,glad,kort,niet zeer lang,vrijwel uniform,vrijwel uniform,http://images.ncbnaturalis.nl/comping/132751.jpg,male,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRPREI,Asemum striatum,Kortsprietboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
7,Arhopalus rusticus,beide,,8,10-30,zwart; bruin,egaal,2; 3,geheel,dun behaard,mat,anders,glad,kort; middellang,niet zeer lang,vrijwel uniform,vrijwel uniform,http://images.ncbnaturalis.nl/comping/132749.jpg,female,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRPNBN,Arhopalus rusticus,Bruine grootoogboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
8,Arhopalus ferus,beide,,7;6,9-27,zwart; bruin,egaal,2; 3,geheel,dun behaard,mat,anders,glad,kort; middellang,niet zeer lang,vrijwel uniform,vrijwel uniform,http://images.ncbnaturalis.nl/comping/132748.jpg,female,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRPMFG,Arhopalus ferus,Zwarte grootoogboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
9,Tetropium castaneum,beide,,10;6,9-19,zwart; bruin,egaal,2; 3,geheel,dun behaard,glimmend,anders,glad,kort; middellang,niet zeer lang,vrijwel uniform,vrijwel uniform; meerkleurig,http://images.ncbnaturalis.nl/comping/132844.jpg,female,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRTPWV,Tetropium castaneum,Gewone dubbeloogboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
10,Tetropium fuscum,beide,,9;6,8-17,bruin; geel,egaal,2; 3,geheel,dun behaard,mat,anders,glad,kort; middellang,niet zeer lang,vrijwel uniform,vrijwel uniform; meerkleurig,http://images.ncbnaturalis.nl/comping/132846.jpg,male,http://www.nederlandsesoorten.nl/nsr/concept/0AHCYFBRTQXO,Tetropium fuscum,Doffe dubbeloogboktor,Theodoor Heijerman,Bron: Zeegers & Heijerman 2008. De Nederlandse boktorren (Cerambycidae). Entomologische Tabellen 2: 1-120. EIS Nederland
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
